position,title,artist,year
19,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2020
20,Mood,24kGoldn Featuring iann dior,2020
21,Sum 2 Prove,Lil Baby,2020
22,Heart On Ice,Rod Wave,2020
23,We Paid,Lil Baby & 42 Dugg,2020
24,Bandit,Juice WRLD & YoungBoy Never Broke Again,2020
25,Popstar,DJ Khaled Featuring Drake,2020
26,Hot,Young Thug Featuring Gunna,2020
27,Party Girl,StaySolidRocky,2020
28,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,2020
29,Suicidal,YNW Melly & Juice WRLD,2020
30,The Bigger Picture,Lil Baby,2020
31,Godzilla,Eminem Featuring Juice WRLD,2020
32,Mood Swings,Pop Smoke Featuring Lil Tjay,2020
33,Dior,Pop Smoke,2020
34,Wishing Well,Juice WRLD,2020
35,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",2020
36,Emotionally Scarred,Lil Baby,2020
37,Rags2Riches,Rod Wave Featuring ATR Son Son,2020
38,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,2020
39,Panini,Lil Nas X,2020
40,Said Sum,Moneybagg Yo,2020
41,Walk Em Down,NLE Choppa Featuring Roddy Ricch,2020
42,Tap In,Saweetie,2020
43,On Chill,Wale Featuring Jeremih,2020
44,VIBEZ,DaBaby,2020
45,Girls In The Hood,Megan Thee Stallion,2020
46,Futsal Shuffle 2020,Lil Uzi Vert,2020
47,Out West,JACKBOYS Featuring Young Thug,2020
48,Gooba,6ix9ine,2020
49,BEST ON EARTH,Russ & BIA,2020
50,Baby,Lil Baby & DaBaby,2020
1,Mood,24kGoldn Featuring iann dior,2021
2,Astronaut In The Ocean,Masked Wolf,2021
3,Up,Cardi B,2021
4,Industry Baby,Lil Nas X & Jack Harlow,2021
5,Rapstar,Polo G,2021
6,Calling My Phone,Lil Tjay Featuring 6LACK,2021
7,What You Know Bout Love,Pop Smoke,2021
8,Best Friend,Saweetie Featuring Doja Cat,2021
9,Wants And Needs,Drake Featuring Lil Baby,2021
10,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,2021
11,On Me,Lil Baby,2021
12,Wockesha,Moneybagg Yo,2021
13,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2021
14,Way 2 Sexy,Drake Featuring Future & Young Thug,2021
15,Whoopty,CJ,2021
16,Laugh Now Cry Later,Drake Featuring Lil Durk,2021
17,Back In Blood,Pooh Shiesty Featuring Lil Durk,2021
18,Body,Megan Thee Stallion,2021
19,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,2021
20,Time Today,Moneybagg Yo,2021
21,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,2021
22,Late At Night,Roddy Ricch,2021
23,Thot Shit,Megan Thee Stallion,2021
24,Cry Baby,Megan Thee Stallion Featuring DaBaby,2021
25,What's Next,Drake,2021
26,Knife Talk,Drake Featuring 21 Savage & Project Pat,2021
27,Girls Want Girls,Drake Featuring Lil Baby,2021
28,No More Parties,Coi Leray Featuring Lil Durk,2021
29,Throat Baby (Go Baby),BRS Kash,2021
30,WAP,Cardi B Featuring Megan Thee Stallion,2021
31,Whole Lotta Money,BIA Featuring Nicki Minaj,2021
32,Fair Trade,Drake Featuring Travis Scott,2021
33,Tombstone,Rod Wave,2021
34,my.life,"J. Cole, 21 Savage & Morray",2021
35,Rockstar,DaBaby Featuring Roddy Ricch,2021
36,Tyler Herro,Jack Harlow,2021
37,Holiday,Lil Nas X,2021
38,Hurricane,Kanye West,2021
39,Straightenin,Migos,2021
40,Family Ties,Baby Keem & Kendrick Lamar,2021
41,Ski,Young Thug & Gunna,2021
42,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,2021
43,Said Sum,Moneybagg Yo,2021
44,Ain't Shit,Doja Cat,2021
45,Street Runner,Rod Wave,2021
46,2055,Sleepy Hallow,2021
47,Champagne Poetry,Drake,2021
48,Rumors,Lizzo Featuring Cardi B,2021
49,No Friends In The Industry,Drake,2021
50,Buss It,Erica Banks,2021
1,First Class,Jack Harlow,2022
2,Wait For U,Future Featuring Drake & Tems,2022
3,Big Energy,Latto,2022
4,Super Gremlin,Kodak Black,2022
5,Industry Baby,Lil Nas X & Jack Harlow,2022
6,Jimmy Cooks,Drake Featuring 21 Savage,2022
7,Vegas,Doja Cat,2022
8,In A Minute,Lil Baby,2022
9,Pushin P,Gunna & Future Featuring Young Thug,2022
10,Sweetest Pie,Megan Thee Stallion & Dua Lipa,2022
11,Super Freaky Girl,Nicki Minaj,2022
12,Knife Talk,Drake Featuring 21 Savage & Project Pat,2022
13,Way 2 Sexy,Drake Featuring Future & Young Thug,2022
14,Broadway Girls,Lil Durk Featuring Morgan Wallen,2022
15,What Happened To Virgil,Lil Durk Featuring Gunna,2022
16,Puffin On Zootiez,Future,2022
17,Girls Want Girls,Drake Featuring Lil Baby,2022
18,To The Moon!,JNR CHOI & Sam Tompkins,2022
19,Sticky,Drake,2022
20,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",2022
21,Betty (Get Money),Yung Gravy,2022
22,Cooped Up,Post Malone Featuring Roddy Ricch,2022
23,F.N.F. (Let's Go),Hitkidd & GloRilla,2022
24,Staying Alive,DJ Khaled Featuring Drake & Lil Baby,2022
25,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,2022
26,Right On,Lil Baby,2022
27,Get Into It (Yuh),Doja Cat,2022
28,By Your Side,Rod Wave,2022
29,Do We Have A Problem?,Nicki Minaj X Lil Baby,2022
30,Hot Shit,"Cardi B, Ye & Lil Durk",2022
31,Silent Hill,Kendrick Lamar & Kodak Black,2022
32,Freaky Deaky,Tyga X Doja Cat,2022
33,Me Or Sum,"Nardo Wick, Lil Baby & Future",2022
34,Ahhh Ha,Lil Durk,2022
35,P Power,Gunna Featuring Drake,2022
36,Nail Tech,Jack Harlow,2022
37,Scorpio,Moneybagg Yo,2022
38,Tomorrow 2,GloRilla & Cardi B,2022
39,Hotel Lobby (Unc And Phew),Quavo & Takeoff,2022
40,Too Easy,Gunna & Future,2022
41,N95,Kendrick Lamar,2022
42,Rumors,Gucci Mane Featuring Lil Durk,2022
43,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,2022
44,Dah Dah DahDah,Nardo Wick,2022
45,Handsomer,Russ Featuring Ktlyn,2022
46,Already Dead,Juice WRLD,2022
47,Family Ties,Baby Keem & Kendrick Lamar,2022
48,Alone,Rod Wave,2022
49,Plan B,Megan Thee Stallion,2022
50,Billie Eilish.,Armani White,2022
